,source_id,target_id,distancia_hidraulica,distancia_euclidea,tipo_relacion,detalle_rio
0,AV-0886/1987,C316,171645.45,379650.6,AGUAS_ABAJO,RÍO TAJO
1,AV-0137/2003,C316,171895.47,379468.72,AGUAS_ABAJO,RÍO TAJO
2,AV-0146/2004,C316,158408.97,435208.01,AGUAS_ABAJO,RÍO TAJO
3,AV-0138/2003,C316,158408.97,435285.61,AGUAS_ABAJO,RÍO TAJO
4,AV-0082/1999,C316,217079.32,344523.15,AGUAS_ABAJO,RÍO TAJO
5,AV-0073/2014,C316,158408.97,424543.22,AGUAS_ABAJO,RÍO TAJO
6,AV-0145/2004,C325,41.46,347.14,AGUAS_ABAJO,RÍO TAJO
7,AV-0134/2003,C316,262226.92,302913.7,AGUAS_ABAJO,RÍO TAJO
8,AV-0150/2004,C317,12259.94,10834.17,AGUAS_ABAJO,RÍO TAJO
9,AV-0009/2005,C312,93884.1,52972.4,AGUAS_ABAJO,RÍO TAJO
10,AV-0025/2012,C320,7452.46,5362.92,AGUAS_ABAJO,RÍO TAJO
11,AV-0234/2023,C312,94465.07,53538.95,AGUAS_ABAJO,RÍO TAJO
12,AV-0029/2014,C312,62109.93,36984.35,AGUAS_ABAJO,RÍO TAJO
13,AV-0084/2020,C312,67279.14,39661.24,AGUAS_ABAJO,RÍO TAJO
14,AV-0014/2005,C312,67279.14,39661.24,AGUAS_ABAJO,RÍO TAJO
15,AV-0003/2005,C312,69660.25,40957.62,AGUAS_ABAJO,RÍO TAJO
16,AV-0005/2021,C320,38243.71,27805.74,AGUAS_ABAJO,RÍO TAJO
17,AV-0015/2008,C320,38643.8,28233.41,AGUAS_ABAJO,RÍO TAJO
18,AV-0014/2001,C320,39984.2,27182.81,AGUAS_ABAJO,RÍO TAJO
19,AV-0016/2008,C320,37492.39,27247.76,AGUAS_ABAJO,RÍO TAJO
20,AV-0001/2001,C320,8045.43,5874.39,AGUAS_ABAJO,RÍO TAJO
21,AV-0011/2001,C316,105542.96,58565.57,AGUAS_ABAJO,RÍO TAJO
22,AV-0002/2001,C316,4419.2,2492.72,AGUAS_ABAJO,RÍO TAJO
23,AV-0015/2000,C316,3072.54,2101.05,AGUAS_ABAJO,RÍO TAJO
24,AV-0098/2023,C316,6166.29,3673.11,AGUAS_ABAJO,RÍO TAJO
25,AV-0020/2005,C320,79239.77,44452.6,AGUAS_ABAJO,RÍO TAJO
26,AV-0017/1986,C315,63633.33,35758.0,AGUAS_ABAJO,RÍO TAJO
27,AV-0022/2003,C315,74353.85,42291.14,AGUAS_ABAJO,RÍO TAJO
28,AV-0007/1996,C315,65694.08,37309.68,AGUAS_ABAJO,RÍO TAJO
29,AV-0023/1996,C315,45593.04,25148.27,AGUAS_ABAJO,RÍO TAJO
30,AV-0023/2002,C302,5083.56,3730.39,AGUAS_ABAJO,RÍO TAJO
31,AV-0021/2018,C302,21159.07,11706.07,AGUAS_ABAJO,RÍO TAJO
32,AV-0007/1982,C312,38213.71,22733.6,AGUAS_ABAJO,RÍO TAJO
33,AV-0051/2002,C312,32658.98,19596.45,AGUAS_ABAJO,RÍO TAJO
34,AV-0053/2002,C312,18418.88,10310.4,AGUAS_ABAJO,RÍO TAJO
35,AV-0077/2001,C343,62387.4,44753.68,AGUAS_ABAJO,RÍO TAJO
36,AV-0106/2004,C344,1.5,3.0,AGUAS_ABAJO,RÍO TAJO
37,AV-0066/2010,C315,43521.12,24386.96,AGUAS_ABAJO,RÍO TAJO
38,AV-0067/2009,C333,12094.89,8740.92,AGUAS_ABAJO,RÍO TAJO
39,AV-0120/2008,C333,12094.89,8740.92,AGUAS_ABAJO,RÍO TAJO
40,AV-0604/1987,C333,12436.31,9080.01,AGUAS_ABAJO,RÍO TAJO
41,AV-0019/1991,C333,4835.21,4306.6,AGUAS_ABAJO,RÍO TAJO
42,AV-0012/1989,C315,7895.96,5330.94,AGUAS_ABAJO,RÍO TAJO
43,AV-0057/2020,C333,9421.99,6663.99,AGUAS_ABAJO,RÍO TAJO
44,AV-0024/2017,C333,3941.61,3382.11,AGUAS_ABAJO,RÍO TAJO
45,AV-0024/1981,C312,947.72,677.45,AGUAS_ABAJO,RÍO TAJO
46,AV-0127/2002,C315,28435.36,15220.88,AGUAS_ABAJO,RÍO TAJO
47,AV-0045/1998,C315,28524.33,15327.36,AGUAS_ABAJO,RÍO TAJO
48,AV-0126/2002,C315,28458.8,15246.78,AGUAS_ABAJO,RÍO TAJO
49,AV-0129/2002,C315,28435.36,15220.88,AGUAS_ABAJO,RÍO TAJO
