,NOMBRE_VERTIDO,TITULAR,MUNICIPIO,PROVINCIA,UTM X  Huso 30,UTM Y  Huso 30,MEDIO     RECEPTOR,NATURALEZA_VERTIDO,CARACT_VERTIDO,VOLUMEN_m3_ano,NATURALEZA_RECEPTOR,REF_EXPEDIENTE,tipo_titular
0,DROMEN GESTORES Y CONSULTORES (VIV. UNIFAMILIAR),"DROMEN GESTORES Y CONSULTORES, S.L.",ADRADA (LA),AVILA,358144.0,4460601.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,231.0,CATEGORÍA I,AV-0006/2020,J
1,PIZZERIA-RESTAURANTE PUENTE MOCHA,PERSONA FÍSICA,ADRADA (LA),AVILA,358290.0,4459633.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,1188.0,CATEGORÍA I,AV-0049/1999,F
2,CENTRO HÍPICO LA ESPUELA,"CORPORACIÓN RILUMI, S.L.",ADRADA (LA),AVILA,358288.0,4459174.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,3650.0,CATEGORÍA I,AV-0041/2015,J
3,EDAR LA ADRADA,AYUNTAMIENTO DE LA ADRADA,ADRADA (LA),AVILA,359461.0,4460939.0,ARROYO FRANQUILLO,URBANO O ASIMILABLE,2.000-10.000 h-e,1193058.0,CATEGORÍA I,AV-0053/2014,A
4,PERSONA FÍSICA (VIVIENDAS),PERSONA FÍSICA,ADRADA (LA),AVILA,357353.0,4461118.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,102.0,CATEGORÍA I,AV-0041/2017,F
5,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,ADRADA (LA),AVILA,358380.0,4459920.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,292.0,CATEGORÍA I,AV-0049/1996,F
6,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,ARENAL (EL),AVILA,322842.0,4458176.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,365.0,CATEGORÍA I,AV-0022/1995,F
7,EDAR EL ARENAL,AYUNTAMIENTO DE EL ARENAL,ARENAL (EL),AVILA,322768.0,4458977.0,RÍO EL ARENAL,URBANO O ASIMILABLE,2.000-10.000 h-e,612715.0,CATEGORÍA I,AV-0653/1987,A
8,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,ARENAS DE SAN PEDRO,AVILA,322881.0,4448797.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,72.0,CATEGORÍA I,AV-0087/2003,F
9,"E.S. CTRA. N-502, KM 77","FERNANDEZ BERMEJO, S.A.",ARENAS DE SAN PEDRO,AVILA,325990.0,4450068.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,274.0,CATEGORÍA I,AV-0080/2004,J
10,CAMPING CASA VERDE SIERRA DE GREDOS,"CASA VERDE SIERRA DE GREDOS, S.L.",ARENAS DE SAN PEDRO,AVILA,323809.0,4451564.0,ARROYO BARRITOTE,URBANO O ASIMILABLE,<2.000 h-e,4385.4,CATEGORÍA I,AV-0237/2023,J
11,CASA DE REPOSO SHANGRILLA,PERSONA FÍSICA,ARENAS DE SAN PEDRO,AVILA,315580.0,4450190.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,1606.0,CATEGORÍA I,AV-0380/1990,F
12,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,ARENAS DE SAN PEDRO,AVILA,317182.0,4450225.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,548.0,CATEGORÍA I,AV-0117/2002,F
13,RESTAURANTE GRUTAS DEL AGUILA,"HERMANOS MUÑOZ PEREDA, C.B.",ARENAS DE SAN PEDRO,AVILA,323675.0,4447222.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,2600.0,CATEGORÍA I,AV-0050/1999,
14,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,ARENAS DE SAN PEDRO,AVILA,315339.0,4450332.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,150.0,CATEGORÍA I,AV-0087/2004,F
15,HOTEL RURAL EL RETIRO DE SAN PEDRO,"EL RETIRO DE SAN PEDRO DE ALCÁNTARA, S.L.",ARENAS DE SAN PEDRO,AVILA,322926.0,4454065.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,1314.0,CATEGORÍA I,AV-0077/2005,J
16,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,ARENAS DE SAN PEDRO,AVILA,332824.0,4446940.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,876.0,CATEGORÍA I,AV-0089/2011,F
17,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,ARENAS DE SAN PEDRO,AVILA,322383.0,4451957.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,110.0,CATEGORÍA I,AV-0042/2012,F
18,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,ARENAS DE SAN PEDRO,AVILA,317832.0,4449896.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,219.0,CATEGORÍA I,AV-0044/2013,F
19,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,ARENAS DE SAN PEDRO,AVILA,321641.0,4454749.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,150.0,CATEGORÍA I,AV-0107/2006,F
20,"IBERIA FRUIT, S.L. (VIV. UNIFAMILIAR)","IBERIA FRUIT, S.L.",ARENAS DE SAN PEDRO,AVILA,315512.0,4445178.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,112.0,CATEGORÍA I,AV-0105/2011,J
21,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,ARENAS DE SAN PEDRO,AVILA,322353.0,4451942.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,146.0,CATEGORÍA I,AV-0041/2012,F
22,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,ARENAS DE SAN PEDRO,AVILA,313828.0,4445201.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,625.0,CATEGORÍA I,AV-0093/2009,F
23,CASA RURAL FINCA RIOCANTOS,"RIOCANTOS, S.L.",ARENAS DE SAN PEDRO,AVILA,321600.0,4454798.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,730.0,CATEGORÍA I,AV-0050/1996,J
24,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,ARENAS DE SAN PEDRO,AVILA,324556.0,4457055.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,365.0,CATEGORÍA I,AV-0058/2012,F
25,PERSONA FÍSICA (CASA RURAL Y RESTAURANTE),PERSONA FÍSICA,ARENAS DE SAN PEDRO,AVILA,322210.0,4450218.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,279.0,CATEGORÍA I,AV-0050/2014,F
26,PERSONA FÍSICA (CASAS RURALES),PERSONA FÍSICA,ARENAS DE SAN PEDRO,AVILA,322115.0,4450245.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,125.0,CATEGORÍA I,AV-0058/2013,F
27,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,ARENAS DE SAN PEDRO,AVILA,313821.0,4448295.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,146.0,CATEGORÍA I,AV-0043/2013,F
28,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,ARENAS DE SAN PEDRO,AVILA,313968.0,4448831.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,292.0,CATEGORÍA I,AV-0044/2016,F
29,BAR-RESTAURANTE KIOSCO PELAYOS,AYUNTAMIENTO DE ARENAS DE SAN PEDRO,ARENAS DE SAN PEDRO,AVILA,320183.0,4452270.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,840.0,CATEGORÍA I,AV-0047/2014,A
30,PERSONA FÍSICA (CASETA DE HERRAMIENTAS),PERSONA FÍSICA,ARENAS DE SAN PEDRO,AVILA,325845.0,4450150.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,73.0,CATEGORÍA I,AV-0062/2013,F
31,CASA RURAL CORTECEROS,"CORTECEROS, S.L.",ARENAS DE SAN PEDRO,AVILA,324444.0,4451637.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,900.0,CATEGORÍA I,AV-0085/2009,J
32,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,ARENAS DE SAN PEDRO,AVILA,323067.0,4447200.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,292.0,CATEGORÍA I,AV-0042/2018,F
33,EATON PLANNING LIMITED (VIV. UNIFAMILIAR),EATON PLANNING LIMITED,ARENAS DE SAN PEDRO,AVILA,317131.0,4441014.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,438.0,CATEGORÍA I,AV-0111/2011,
34,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,ARENAS DE SAN PEDRO,AVILA,331280.0,4445122.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,716.0,CATEGORÍA I,AV-0043/2012,F
35,EDAR HONTANARES,AYUNTAMIENTO DE ARENAS DE SAN PEDRO,ARENAS DE SAN PEDRO,AVILA,330924.0,4445983.0,ARROYO EGIDO,URBANO O ASIMILABLE,<2.000 h-e,9726.6,CATEGORÍA I,AV-0218/2023,A
36,EDAR ARENAS DE SAN PEDRO,AYUNTAMIENTO DE ARENAS DE SAN PEDRO,ARENAS DE SAN PEDRO,AVILA,321294.0,4452455.0,RÍO EL ARENAL,URBANO O ASIMILABLE,>10.000 h-e,1791857.0,CATEGORÍA I,AV-0643/1987,A
37,CASA CARMELA ALOJAMIENTO RURAL,"CASA CARMELA ALOJAMIENTO RURAL, S.L.",ARENAS DE SAN PEDRO,AVILA,321811.0,4455108.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,360.0,CATEGORÍA I,AV-0104/2006,J
38,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,ARENAS DE SAN PEDRO,AVILA,313895.0,4447878.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,96.0,CATEGORÍA I,AV-0159/2008,F
39,PERSONA FÍSICA (CENTRO EDUCACIÓN AMBIENTAL),PERSONA FÍSICA,ARENAS DE SAN PEDRO,AVILA,320013.0,4454211.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,1000.0,CATEGORÍA I,AV-0242/2023,F
40,PERSONA FÍSICA (VIV. UNIFAMILIAR),PERSONA FÍSICA,ARENAS DE SAN PEDRO,AVILA,321730.0,4452154.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,97.0,CATEGORÍA I,AV-0061/2023,F
41,SOCIEDAD GUADIERBAS Y SERVICIOS (HOTEL RURAL),"SOCIEDAD GUADIERBAS Y SERVICIOS, S.A.",ARENAS DE SAN PEDRO,AVILA,320125.0,4445240.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,876.0,CATEGORÍA I,AV-0039/2017,J
42,BAR-RESTAURANTE LA GAZNATA,PERSONA FÍSICA,BARRACO (EL),AVILA,367276.0,4478190.0,TERRENO,URBANO O ASIMILABLE,<2.000 h-e,548.0,CATEGORÍA I,AV-0109/2010,F
