METODO_ASIGNACION;DISTANCIA_M;SALTOS_GRAFO;v_utm_x;v_percentil_volumen;v_volumen;v_medio_receptor;v_name;v_categoria_estrategica;v_location;v_id;v_utm_y;v_actividad;s_rio_original;s_utm_x;s_name;s_rio;s_location;s_id;s_utm_y
ESTIMACION_ESPACIAL;26316.52325061196;;358144.0;0.1395;231.0;TERRENO;DROMEN GESTORES Y CONSULTORES, S.L.;TIER_3_MENOR;CartesianPoint(358144.0, 4460601.0);AV-0006/2020;4460601.0;URBANO O ASIMILABLE;ALBERCHE;380680;SAICA ESCALONA;RÍO ALBERCHE;CartesianPoint(380680.0, 4447011.0);C326;4447011.0
ESTIMACION_ESPACIAL;25702.66492019845;;358290.0;0.4251;1188.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(358290.0, 4459633.0);AV-0049/1999;4459633.0;URBANO O ASIMILABLE;ALBERCHE;380680;SAICA ESCALONA;RÍO ALBERCHE;CartesianPoint(380680.0, 4447011.0);C326;4447011.0
ESTIMACION_ESPACIAL;25482.155187503275;;358288.0;0.5387;3650.0;TERRENO;CORPORACIÓN RILUMI, S.L.;TIER_3_MENOR;CartesianPoint(358288.0, 4459174.0);AV-0041/2015;4459174.0;URBANO O ASIMILABLE;ALBERCHE;380680;SAICA ESCALONA;RÍO ALBERCHE;CartesianPoint(380680.0, 4447011.0);C326;4447011.0
ESTIMACION_ESPACIAL;25381.78766359848;;359461.0;0.958;1193058.0;ARROYO FRANQUILLO;AYUNTAMIENTO DE LA ADRADA;TIER_1_CRITICO;CartesianPoint(359461.0, 4460939.0);AV-0053/2014;4460939.0;URBANO O ASIMILABLE;ALBERCHE;380680;SAICA ESCALONA;RÍO ALBERCHE;CartesianPoint(380680.0, 4447011.0);C326;4447011.0
ESTIMACION_ESPACIAL;27260.89466616971;;357353.0;0.0589;102.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(357353.0, 4461118.0);AV-0041/2017;4461118.0;URBANO O ASIMILABLE;ALBERCHE;380680;SAICA ESCALONA;RÍO ALBERCHE;CartesianPoint(380680.0, 4447011.0);C326;4447011.0
ESTIMACION_ESPACIAL;25766.88341650965;;358380.0;0.1779;292.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(358380.0, 4459920.0);AV-0049/1996;4459920.0;URBANO O ASIMILABLE;ALBERCHE;380680;SAICA ESCALONA;RÍO ALBERCHE;CartesianPoint(380680.0, 4447011.0);C326;4447011.0
ESTIMACION_ESPACIAL;40347.85431717528;;322842.0;0.2305;365.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(322842.0, 4458176.0);AV-0022/1995;4458176.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;41061.12634840891;;322768.0;0.9297;612715.0;RÍO EL ARENAL;AYUNTAMIENTO DE EL ARENAL;TIER_2_RELEVANTE;CartesianPoint(322768.0, 4458977.0);AV-0653/1987;4458977.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;32863.78447470711;;322881.0;0.0286;72.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(322881.0, 4448797.0);AV-0087/2003;4448797.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;31886.01379915652;;325990.0;0.1602;274.0;TERRENO;FERNANDEZ BERMEJO, S.A.;TIER_3_MENOR;CartesianPoint(325990.0, 4450068.0);AV-0080/2004;4450068.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;34393.828530711726;;323809.0;0.5531;4385.4;ARROYO BARRITOTE;CASA VERDE SIERRA DE GREDOS, S.L.;TIER_3_MENOR;CartesianPoint(323809.0, 4451564.0);AV-0237/2023;4451564.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;39042.6477073469;;315580.0;0.4559;1606.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(315580.0, 4450190.0);AV-0380/1990;4450190.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
ESTIMACION_ESPACIAL;37879.77789005633;;317182.0;0.3101;548.0;TERRENO;PERSONA FÍSICA;TIER_3_MENOR;CartesianPoint(317182.0, 4450225.0);AV-0117/2002;4450225.0;URBANO O ASIMILABLE;TAJO IZQUIERDA;344864;SAICA TALAVERA;RÍO TAJO;CartesianPoint(344864.0, 4424368.0);C310;4424368.0
